Municipality,To,Commuters
Halden,Vefsn,1
Halden,Grane,0
Halden,Hattfjelldal,0
Halden,Dønna,0
Halden,Nesna,0
Halden,Hemnes,0
Halden,Rana,0
Halden,Lurøy,1
Halden,Træna,0
Halden,Rødøy,0
Halden,Meløy,0
Halden,Gildeskål,0
Halden,Beiarn,0
Halden,Saltdal,0
Halden,Fauske,0
Halden,Sørfold,0
Halden,Steigen,0
Halden,Lødingen,0
Halden,Tjeldsund,0
Halden,Evenes,0
Halden,Røst,0
Halden,Værøy,0
Halden,Flakstad,1
Halden,Vestvågøy,0
Halden,Vågan,0
Halden,Hadsel,0
Halden,Bø,12
Halden,Øksnes,0
Halden,Sortland,0
Halden,Andøy,0
Halden,Moskenes,0
Halden,Tromsø,1
Halden,Harstad,0
Halden,Kvæfjord,0
Halden,Ibestad,0
Halden,Gratangen,0
Halden,Lavangen,0
Halden,Bardu,2
Halden,Salangen,0
Halden,Målselv,0
Halden,Sørreisa,0
Halden,Dyrøy,0
Halden,Berg,67
Halden,Balsfjord,0
Halden,Karlsøy,0
Halden,Lyngen,0
Halden,Storfjord,0
Halden,Kåfjord,0
Halden,Skjervøy,0
Halden,Nordreisa,0
Halden,Kvænangen,0
Halden,Vardø,0
Halden,Vadsø,0
Halden,Hammerfest,0
Halden,Kautokeino,0
Halden,Alta,4
Halden,Loppa,0
Halden,Hasvik,0
Halden,Måsøy,0
Halden,Nordkapp,0
Halden,Porsanger,0
Halden,Karasjok,0
Halden,Lebesby,0
Halden,Gamvik,0
Halden,Berlevåg,0
Halden,Tana,0
Halden,Nesseby,0
Halden,Båtsfjord,0
Halden,Sør-varanger,0
Halden,Trondheim,10
Halden,Namsos,0
Halden,Hemne,0
Halden,Frøya,1
Halden,Ørland,0
Halden,Åfjord,0
Halden,Osen,0
Halden,Oppdal,0
Halden,Rennebu,0
Halden,Røros,0
Halden,Holtålen,0
Halden,Midtre_Gauldal,1
Halden,Melhus,0
Halden,Skaun,0
Halden,Malvik,0
Halden,Selbu,1
Halden,Tydal,0
Halden,Meråker,0
Halden,Stjørdal,1
Halden,Frosta,0
Halden,Levanger,0
Halden,Verdal,0
Halden,Snåsa,0
Halden,Lierne,0
Halden,Røyrvik,0
Halden,Namsskogan,0
Halden,Grong,0
Halden,Høylandet,0
Halden,Overhalla,0
Halden,Flatanger,0
Halden,Nærøy,0
Halden,Leka,0
Halden,Inderøy,0
Halden,Indre_Fosen,0
Moss,Halden,126
Moss,Moss,0
Moss,Sarpsborg,674
Moss,Fredrikstad,957
Moss,Hvaler,41
Moss,Aremark,3
Moss,Marker,14
Moss,Skiptvet,37
Moss,Rakkestad,32
Moss,Råde,418
Moss,Vestby,403
Moss,Ski,237
Moss,Ås,113
Moss,Frogn,67
Moss,Nesodden,19
Moss,Bærum,52
Moss,Asker,17
Moss,Aurskog-Høland,9
Moss,Rælingen,8
Moss,Enebakk,7
Moss,Lørenskog,24
Moss,Nittedal,8
Moss,Gjerdrum,2
Moss,Ullensaker,19
Moss,Eidsvoll,4
Moss,Nannestad,4
Moss,Hurdal,1
Moss,Oslo,489
Moss,Kongsvinger,2
Moss,Hamar,9
Moss,Ringsaker,6
Moss,Løten,0
Moss,Stange,3
Moss,Nord-odal,1
Moss,Sør-odal,2
Moss,Eidskog,0
Moss,Grue,1
Moss,Åsnes,1
Moss,Elverum,5
Moss,Trysil,6
Moss,Åmot,0
Moss,Stor-Elvdal,0
Moss,Rendalen,0
Moss,Engerdal,0
Moss,Tolga,0
Moss,Tynset,0
Moss,Alvdal,0
Moss,Folldal,0
Moss,Lillehammer,3
Moss,Gjøvik,6
Moss,Dovre,0
Moss,Lesja,0
Moss,Skjåk,0
Moss,Lom,0
Moss,Vågå,0
Moss,Nord-Fron,1
Moss,Sel,0
Moss,Sør-Fron,1
Moss,Ringebu,0
Moss,Øyer,0
Moss,Gausdal,3
Moss,Østre_Toten,1
Moss,Vestre_Toten,2
Moss,Jevnaker,5
Moss,Lunner,4
Moss,Gran,12
Moss,Søndre_Land,1
Moss,Nordre_Land,2
Moss,Sør-Aurdal,1
Moss,Etnedal,0
Moss,Nord-Aurdal,0
Moss,Vestre_Slidre,0
Moss,Øystre_Slidre,0
Moss,Vang,15
Moss,Drammen,46
Moss,Kongsberg,1
Moss,Ringerike,9
Moss,Hole,0
Moss,Flå,0
Moss,Gol,0
Moss,Hemsedal,0
Moss,Ål,590
Moss,Hol,13
Moss,Sigdal,0
Moss,Krødsherad,1
Moss,Modum,3
Moss,Øvre_Eiker,2
Moss,Lier,14
Moss,Flesberg,0
Moss,Rollag,1
Moss,Nore_og_Uvdal,0
Moss,Horten,50
Moss,Tønsberg,24
Moss,Sandefjord,16
Moss,Larvik,9
Moss,Holmestrand,12
Moss,Re,1025
Moss,Færder,9
Moss,Porsgrunn,8
Moss,Skien,14
Moss,Notodden,3
Moss,Siljan,0
Moss,Bamble,6
Moss,Kragerø,2
Moss,Drangedal,0
Moss,Nome,0
Moss,Tinn,1
Moss,Hjartdal,0
Moss,Seljord,0
Moss,Kviteseid,1
Moss,Nissedal,0
Moss,Fyresdal,0
Moss,Tokke,2
Moss,Vinje,0
Moss,Risør,1
Moss,Grimstad,2
Moss,Arendal,11
Moss,Gjerstad,0
Moss,Vegårshei,0
Moss,Tvedestrand,1
Moss,Froland,1
Moss,Lillesand,1
Moss,Birkenes,1
Moss,Åmli,0
Moss,Iveland,1
Moss,Evje_og_Hornnes,0
Moss,Bygland,0
Moss,Valle,0
Moss,Bykle,0
Moss,Kristiansand,17
Moss,Farsund,4
Moss,Flekkefjord,1
Moss,Vennesla,0
Moss,Åseral,0
Moss,Lindesnes,1
Moss,Lyngdal,0
Moss,Hægebostad,0
Moss,Kvinesdal,2
Moss,Sirdal,0
Moss,Eigersund,0
Moss,Sandnes,3
Moss,Stavanger,15
Moss,Haugesund,5
Moss,Sokndal,0
Moss,Lund,0
Moss,Bjerkreim,0
