Municipality,To,Commuters
Stange,Fedje,0
Stange,Masfjorden,0
Stange,Gulen,0
Stange,Solund,0
Stange,Hyllestad,0
Stange,Høyanger,0
Stange,Vik,43
Stange,Sogndal,0
Stange,Aurland,0
Stange,Lærdal,0
Stange,Årdal,0
Stange,Luster,0
Stange,Askvoll,0
Stange,Fjaler,0
Stange,Bremanger,0
Stange,Eid,20
Stange,Gloppen,0
Stange,Stryn,0
Stange,Molde,1
Stange,Ålesund,0
Stange,Kristiansund,0
Stange,Vanylven,0
Stange,Sande,2
Stange,Herøy,0
Stange,Ulstein,0
Stange,Hareid,0
Stange,Volda,0
Stange,Ørsta,0
Stange,Stranda,0
Stange,Sykkylven,0
Stange,Sula,0
Stange,Giske,1
Stange,Vestnes,0
Stange,Rauma,0
Stange,Aukra,0
Stange,Averøy,0
Stange,Gjemnes,0
Stange,Tingvoll,0
Stange,Sunndal,0
Stange,Surnadal,0
Stange,Smøla,0
Stange,Aure,0
Stange,Bodø,0
Stange,Bindal,0
Stange,Sømna,0
Stange,Brønnøy,0
Stange,Vega,0
Stange,Vevelstad,0
Stange,Leirfjord,0
Stange,Vefsn,0
Stange,Grane,0
Stange,Hattfjelldal,0
Stange,Dønna,0
Stange,Nesna,0
Stange,Hemnes,0
Stange,Rana,0
Stange,Lurøy,0
Stange,Træna,0
Stange,Rødøy,0
Stange,Meløy,0
Stange,Gildeskål,0
Stange,Beiarn,0
Stange,Saltdal,0
Stange,Fauske,0
Stange,Sørfold,0
Stange,Steigen,0
Stange,Lødingen,0
Stange,Tjeldsund,0
Stange,Evenes,0
Stange,Røst,0
Stange,Værøy,0
Stange,Flakstad,0
Stange,Vestvågøy,0
Stange,Vågan,0
Stange,Hadsel,0
Stange,Bø,0
Stange,Øksnes,0
Stange,Sortland,0
Stange,Andøy,0
Stange,Moskenes,0
Stange,Tromsø,0
Stange,Harstad,0
Stange,Kvæfjord,0
Stange,Ibestad,0
Stange,Gratangen,0
Stange,Lavangen,0
Stange,Bardu,0
Stange,Salangen,0
Stange,Målselv,0
Stange,Sørreisa,0
Stange,Dyrøy,0
Stange,Berg,3
Stange,Balsfjord,0
Stange,Karlsøy,0
Stange,Lyngen,0
Stange,Storfjord,0
Stange,Kåfjord,0
Stange,Skjervøy,0
Stange,Nordreisa,0
Stange,Kvænangen,0
Stange,Vardø,0
Stange,Vadsø,0
Stange,Hammerfest,0
Stange,Kautokeino,0
Stange,Alta,2
Stange,Loppa,0
Stange,Hasvik,0
Stange,Måsøy,0
Stange,Nordkapp,0
Stange,Porsanger,0
Stange,Karasjok,0
Stange,Lebesby,0
Stange,Gamvik,0
Stange,Berlevåg,0
Stange,Tana,0
Stange,Nesseby,0
Stange,Båtsfjord,0
Stange,Sør-varanger,1
Stange,Trondheim,3
Stange,Namsos,0
Stange,Hemne,0
Stange,Frøya,0
Stange,Ørland,0
Stange,Åfjord,0
Stange,Osen,0
Stange,Oppdal,0
Stange,Rennebu,0
Stange,Røros,1
Stange,Holtålen,0
Stange,Midtre_Gauldal,0
Stange,Melhus,2
Stange,Skaun,0
Stange,Malvik,0
Stange,Selbu,0
Stange,Tydal,0
Stange,Meråker,0
Stange,Stjørdal,0
Stange,Frosta,0
Stange,Levanger,0
Stange,Verdal,0
Stange,Snåsa,0
Stange,Lierne,0
Stange,Røyrvik,0
Stange,Namsskogan,1
Stange,Grong,0
Stange,Høylandet,0
Stange,Overhalla,1
Stange,Flatanger,0
Stange,Nærøy,0
Stange,Leka,0
Stange,Inderøy,1
Stange,Indre_Fosen,0
Nord-odal,Halden,1
Nord-odal,Moss,1
Nord-odal,Sarpsborg,0
Nord-odal,Fredrikstad,1
Nord-odal,Hvaler,0
Nord-odal,Aremark,0
Nord-odal,Marker,0
Nord-odal,Skiptvet,0
Nord-odal,Rakkestad,0
Nord-odal,Råde,0
Nord-odal,Vestby,1
Nord-odal,Ski,2
Nord-odal,Ås,1
Nord-odal,Frogn,0
Nord-odal,Nesodden,0
Nord-odal,Bærum,0
Nord-odal,Asker,2
Nord-odal,Aurskog-Høland,5
Nord-odal,Rælingen,1
Nord-odal,Enebakk,0
Nord-odal,Lørenskog,3
Nord-odal,Nittedal,1
Nord-odal,Gjerdrum,0
Nord-odal,Ullensaker,11
Nord-odal,Eidsvoll,22
Nord-odal,Nannestad,6
Nord-odal,Hurdal,2
Nord-odal,Oslo,21
Nord-odal,Kongsvinger,71
Nord-odal,Hamar,10
Nord-odal,Ringsaker,5
Nord-odal,Løten,3
Nord-odal,Stange,22
Nord-odal,Nord-odal,0
Nord-odal,Sør-odal,148
Nord-odal,Eidskog,10
Nord-odal,Grue,6
Nord-odal,Åsnes,1
Nord-odal,Elverum,5
Nord-odal,Trysil,1
Nord-odal,Åmot,1
Nord-odal,Stor-Elvdal,0
Nord-odal,Rendalen,0
Nord-odal,Engerdal,0
Nord-odal,Tolga,0
Nord-odal,Tynset,0
Nord-odal,Alvdal,0
Nord-odal,Folldal,0
Nord-odal,Lillehammer,0
Nord-odal,Gjøvik,2
Nord-odal,Dovre,0
Nord-odal,Lesja,0
Nord-odal,Skjåk,0
Nord-odal,Lom,0
Nord-odal,Vågå,0
Nord-odal,Nord-Fron,0
Nord-odal,Sel,1
Nord-odal,Sør-Fron,0
Nord-odal,Ringebu,0
Nord-odal,Øyer,1
Nord-odal,Gausdal,0
Nord-odal,Østre_Toten,0
Nord-odal,Vestre_Toten,0
Nord-odal,Jevnaker,0
Nord-odal,Lunner,0
Nord-odal,Gran,0
Nord-odal,Søndre_Land,0
Nord-odal,Nordre_Land,0
Nord-odal,Sør-Aurdal,0
Nord-odal,Etnedal,0
Nord-odal,Nord-Aurdal,0
Nord-odal,Vestre_Slidre,0
Nord-odal,Øystre_Slidre,0
Nord-odal,Vang,0
Nord-odal,Drammen,0
Nord-odal,Kongsberg,0
Nord-odal,Ringerike,0
Nord-odal,Hole,0
Nord-odal,Flå,0
Nord-odal,Gol,0
Nord-odal,Hemsedal,0
Nord-odal,Ål,2
Nord-odal,Hol,0
Nord-odal,Sigdal,0
Nord-odal,Krødsherad,0
Nord-odal,Modum,1
Nord-odal,Øvre_Eiker,0
Nord-odal,Lier,1
Nord-odal,Flesberg,0
Nord-odal,Rollag,0
Nord-odal,Nore_og_Uvdal,0
Nord-odal,Horten,0
Nord-odal,Tønsberg,1
Nord-odal,Sandefjord,1
Nord-odal,Larvik,0
Nord-odal,Holmestrand,0
Nord-odal,Re,4
Nord-odal,Færder,0
Nord-odal,Porsgrunn,1
Nord-odal,Skien,2
Nord-odal,Notodden,0
Nord-odal,Siljan,0
Nord-odal,Bamble,0
Nord-odal,Kragerø,0
Nord-odal,Drangedal,0
Nord-odal,Nome,0
Nord-odal,Tinn,0
Nord-odal,Hjartdal,0
Nord-odal,Seljord,0
Nord-odal,Kviteseid,0
Nord-odal,Nissedal,0
Nord-odal,Fyresdal,0
Nord-odal,Tokke,0
Nord-odal,Vinje,0
Nord-odal,Risør,0
Nord-odal,Grimstad,0
Nord-odal,Arendal,0
Nord-odal,Gjerstad,0
Nord-odal,Vegårshei,0
Nord-odal,Tvedestrand,0
Nord-odal,Froland,0
Nord-odal,Lillesand,0
Nord-odal,Birkenes,0
Nord-odal,Åmli,0
Nord-odal,Iveland,0
Nord-odal,Evje_og_Hornnes,0
Nord-odal,Bygland,0
Nord-odal,Valle,0
Nord-odal,Bykle,0
Nord-odal,Kristiansand,1
Nord-odal,Farsund,0
Nord-odal,Flekkefjord,0
Nord-odal,Vennesla,0
Nord-odal,Åseral,0
Nord-odal,Lindesnes,0
Nord-odal,Lyngdal,0
Nord-odal,Hægebostad,0
Nord-odal,Kvinesdal,0
Nord-odal,Sirdal,0
Nord-odal,Eigersund,0
Nord-odal,Sandnes,0
Nord-odal,Stavanger,0
Nord-odal,Haugesund,0
Nord-odal,Sokndal,0
Nord-odal,Lund,0
Nord-odal,Bjerkreim,0
Nord-odal,Hå,1
Nord-odal,Klepp,0
Nord-odal,Time,0
Nord-odal,Gjesdal,1
Nord-odal,Sola,0
Nord-odal,Randaberg,0
Nord-odal,Strand,0
Nord-odal,Hjelmeland,0
Nord-odal,Suldal,0
Nord-odal,Sauda,0
Nord-odal,Kvitsøy,0
Nord-odal,Bokn,0
Nord-odal,Tysvær,0
Nord-odal,Karmøy,1
Nord-odal,Utsira,0
Nord-odal,Vindafjord,0
Nord-odal,Bergen,3
Nord-odal,Etne,0
Nord-odal,Sveio,0
Nord-odal,Bømlo,0
Nord-odal,Stord,0
Nord-odal,Fitjar,0
Nord-odal,Tysnes,0
Nord-odal,Kvinnherad,0
Nord-odal,Ullensvang,0
Nord-odal,Eidfjord,0
Nord-odal,Ulvik,0
Nord-odal,Voss,0
Nord-odal,Kvam,0
Nord-odal,Samnanger,0
Nord-odal,Austevoll,0
Nord-odal,Sund,0
Nord-odal,Fjell,0
Nord-odal,Askøy,0
Nord-odal,Vaksdal,0
Nord-odal,Modalen,0
Nord-odal,Osterøy,0
Nord-odal,Meland,0
Nord-odal,Øygarden,0
Nord-odal,Austrheim,0
Nord-odal,Fedje,0
Nord-odal,Masfjorden,0
Nord-odal,Gulen,0
Nord-odal,Solund,0
Nord-odal,Hyllestad,0
Nord-odal,Høyanger,0
Nord-odal,Vik,2
Nord-odal,Sogndal,0
Nord-odal,Aurland,0
Nord-odal,Lærdal,0
Nord-odal,Årdal,0
Nord-odal,Luster,0
Nord-odal,Askvoll,0
Nord-odal,Fjaler,0
Nord-odal,Bremanger,0
Nord-odal,Eid,32
Nord-odal,Gloppen,0
Nord-odal,Stryn,0
Nord-odal,Molde,0
Nord-odal,Ålesund,0
Nord-odal,Kristiansund,0
Nord-odal,Vanylven,0
Nord-odal,Sande,1
Nord-odal,Herøy,0
Nord-odal,Ulstein,0
Nord-odal,Hareid,0
Nord-odal,Volda,0
Nord-odal,Ørsta,0
Nord-odal,Stranda,0
Nord-odal,Sykkylven,0
Nord-odal,Sula,0
Nord-odal,Giske,1
Nord-odal,Vestnes,0
Nord-odal,Rauma,0
Nord-odal,Aukra,0
Nord-odal,Averøy,0
Nord-odal,Gjemnes,0
Nord-odal,Tingvoll,0
Nord-odal,Sunndal,0
Nord-odal,Surnadal,0
Nord-odal,Smøla,0
Nord-odal,Aure,0
Nord-odal,Bodø,1
Nord-odal,Bindal,0
Nord-odal,Sømna,0
Nord-odal,Brønnøy,0
Nord-odal,Vega,0
Nord-odal,Vevelstad,0
Nord-odal,Leirfjord,0
Nord-odal,Vefsn,0
Nord-odal,Grane,0
Nord-odal,Hattfjelldal,0
Nord-odal,Dønna,0
Nord-odal,Nesna,0
Nord-odal,Hemnes,0
Nord-odal,Rana,0
Nord-odal,Lurøy,0
Nord-odal,Træna,0
Nord-odal,Rødøy,0
Nord-odal,Meløy,0
Nord-odal,Gildeskål,0
Nord-odal,Beiarn,0
Nord-odal,Saltdal,0
Nord-odal,Fauske,0
Nord-odal,Sørfold,0
Nord-odal,Steigen,0
Nord-odal,Lødingen,0
Nord-odal,Tjeldsund,0
Nord-odal,Evenes,0
Nord-odal,Røst,0
Nord-odal,Værøy,0
Nord-odal,Flakstad,0
Nord-odal,Vestvågøy,0
Nord-odal,Vågan,0
Nord-odal,Hadsel,0
Nord-odal,Bø,0
Nord-odal,Øksnes,0
Nord-odal,Sortland,0
Nord-odal,Andøy,0
Nord-odal,Moskenes,0
Nord-odal,Tromsø,0
Nord-odal,Harstad,0
Nord-odal,Kvæfjord,0
Nord-odal,Ibestad,0
Nord-odal,Gratangen,0
Nord-odal,Lavangen,0
Nord-odal,Bardu,0
Nord-odal,Salangen,0
Nord-odal,Målselv,0
Nord-odal,Sørreisa,0
Nord-odal,Dyrøy,0
Nord-odal,Berg,4
Nord-odal,Balsfjord,0
Nord-odal,Karlsøy,0
Nord-odal,Lyngen,0
Nord-odal,Storfjord,0
Nord-odal,Kåfjord,0
Nord-odal,Skjervøy,0
Nord-odal,Nordreisa,0
Nord-odal,Kvænangen,0
Nord-odal,Vardø,0
Nord-odal,Vadsø,0
Nord-odal,Hammerfest,0
Nord-odal,Kautokeino,0
Nord-odal,Alta,0
Nord-odal,Loppa,0
Nord-odal,Hasvik,0
Nord-odal,Måsøy,0
Nord-odal,Nordkapp,0
Nord-odal,Porsanger,0
Nord-odal,Karasjok,0
Nord-odal,Lebesby,0
Nord-odal,Gamvik,0
Nord-odal,Berlevåg,0
Nord-odal,Tana,0
Nord-odal,Nesseby,0
Nord-odal,Båtsfjord,0
Nord-odal,Sør-varanger,0
Nord-odal,Trondheim,2
Nord-odal,Namsos,0
Nord-odal,Hemne,0
Nord-odal,Frøya,0
Nord-odal,Ørland,0
Nord-odal,Åfjord,0
Nord-odal,Osen,0
Nord-odal,Oppdal,0
Nord-odal,Rennebu,0
Nord-odal,Røros,0
Nord-odal,Holtålen,0
Nord-odal,Midtre_Gauldal,0
Nord-odal,Melhus,1
Nord-odal,Skaun,0
Nord-odal,Malvik,0
Nord-odal,Selbu,0
Nord-odal,Tydal,0
Nord-odal,Meråker,0
Nord-odal,Stjørdal,0
Nord-odal,Frosta,0
Nord-odal,Levanger,0
Nord-odal,Verdal,0
Nord-odal,Snåsa,0
Nord-odal,Lierne,0
Nord-odal,Røyrvik,0
Nord-odal,Namsskogan,0
Nord-odal,Grong,0
Nord-odal,Høylandet,0
Nord-odal,Overhalla,0
Nord-odal,Flatanger,0
Nord-odal,Nærøy,0
Nord-odal,Leka,0
Nord-odal,Inderøy,0
Nord-odal,Indre_Fosen,0
Sør-odal,Halden,0
Sør-odal,Moss,0
Sør-odal,Sarpsborg,4
Sør-odal,Fredrikstad,9
Sør-odal,Hvaler,0
Sør-odal,Aremark,0
Sør-odal,Marker,0
Sør-odal,Skiptvet,0
Sør-odal,Rakkestad,0
Sør-odal,Råde,0
Sør-odal,Vestby,0
Sør-odal,Ski,1
Sør-odal,Ås,10
Sør-odal,Frogn,0
Sør-odal,Nesodden,0
Sør-odal,Bærum,3
Sør-odal,Asker,2
Sør-odal,Aurskog-Høland,4
Sør-odal,Rælingen,7
Sør-odal,Enebakk,0
Sør-odal,Lørenskog,5
Sør-odal,Nittedal,1
Sør-odal,Gjerdrum,0
Sør-odal,Ullensaker,23
Sør-odal,Eidsvoll,12
Sør-odal,Nannestad,0
Sør-odal,Hurdal,0
Sør-odal,Oslo,56
Sør-odal,Kongsvinger,349
Sør-odal,Hamar,12
Sør-odal,Ringsaker,2
Sør-odal,Løten,3
Sør-odal,Stange,4
Sør-odal,Nord-odal,224
Sør-odal,Sør-odal,0
Sør-odal,Eidskog,46
Sør-odal,Grue,10
Sør-odal,Åsnes,10
Sør-odal,Elverum,4
Sør-odal,Trysil,1
Sør-odal,Åmot,0
Sør-odal,Stor-Elvdal,0
Sør-odal,Rendalen,1
Sør-odal,Engerdal,0
Sør-odal,Tolga,0
Sør-odal,Tynset,0
Sør-odal,Alvdal,0
Sør-odal,Folldal,0
Sør-odal,Lillehammer,0
Sør-odal,Gjøvik,0
Sør-odal,Dovre,0
Sør-odal,Lesja,0
Sør-odal,Skjåk,0
Sør-odal,Lom,1
Sør-odal,Vågå,0
Sør-odal,Nord-Fron,0
Sør-odal,Sel,0
Sør-odal,Sør-Fron,1
Sør-odal,Ringebu,0
Sør-odal,Øyer,0
Sør-odal,Gausdal,0
Sør-odal,Østre_Toten,0
Sør-odal,Vestre_Toten,0
Sør-odal,Jevnaker,0
Sør-odal,Lunner,2
Sør-odal,Gran,0
Sør-odal,Søndre_Land,0
Sør-odal,Nordre_Land,1
Sør-odal,Sør-Aurdal,0
Sør-odal,Etnedal,0
Sør-odal,Nord-Aurdal,0
Sør-odal,Vestre_Slidre,0
Sør-odal,Øystre_Slidre,0
Sør-odal,Vang,0
Sør-odal,Drammen,0
Sør-odal,Kongsberg,1
Sør-odal,Ringerike,4
Sør-odal,Hole,3
Sør-odal,Flå,0
Sør-odal,Gol,0
Sør-odal,Hemsedal,0
Sør-odal,Ål,3
Sør-odal,Hol,3
Sør-odal,Sigdal,0
Sør-odal,Krødsherad,0
Sør-odal,Modum,0
Sør-odal,Øvre_Eiker,0
Sør-odal,Lier,0
Sør-odal,Flesberg,0
Sør-odal,Rollag,0
Sør-odal,Nore_og_Uvdal,0
Sør-odal,Horten,0
Sør-odal,Tønsberg,0
Sør-odal,Sandefjord,1
Sør-odal,Larvik,0
Sør-odal,Holmestrand,0
Sør-odal,Re,17
Sør-odal,Færder,2
Sør-odal,Porsgrunn,0
Sør-odal,Skien,0
Sør-odal,Notodden,0
Sør-odal,Siljan,0
Sør-odal,Bamble,1
Sør-odal,Kragerø,0
Sør-odal,Drangedal,0
Sør-odal,Nome,0
Sør-odal,Tinn,0
Sør-odal,Hjartdal,0
Sør-odal,Seljord,0
Sør-odal,Kviteseid,0
Sør-odal,Nissedal,0
Sør-odal,Fyresdal,0
Sør-odal,Tokke,0
Sør-odal,Vinje,0
Sør-odal,Risør,0
Sør-odal,Grimstad,0
Sør-odal,Arendal,0
Sør-odal,Gjerstad,0
Sør-odal,Vegårshei,0
Sør-odal,Tvedestrand,0
Sør-odal,Froland,0
Sør-odal,Lillesand,0
Sør-odal,Birkenes,0
Sør-odal,Åmli,0
Sør-odal,Iveland,0
Sør-odal,Evje_og_Hornnes,0
Sør-odal,Bygland,0
Sør-odal,Valle,0
Sør-odal,Bykle,0
Sør-odal,Kristiansand,0
Sør-odal,Farsund,0
Sør-odal,Flekkefjord,0
Sør-odal,Vennesla,0
Sør-odal,Åseral,0
Sør-odal,Lindesnes,0
Sør-odal,Lyngdal,0
Sør-odal,Hægebostad,2
Sør-odal,Kvinesdal,0
Sør-odal,Sirdal,0
Sør-odal,Eigersund,0
Sør-odal,Sandnes,0
Sør-odal,Stavanger,0
Sør-odal,Haugesund,0
Sør-odal,Sokndal,0
Sør-odal,Lund,0
Sør-odal,Bjerkreim,0
Sør-odal,Hå,0
Sør-odal,Klepp,0
Sør-odal,Time,0
Sør-odal,Gjesdal,0
Sør-odal,Sola,0
Sør-odal,Randaberg,0
Sør-odal,Strand,0
Sør-odal,Hjelmeland,0
Sør-odal,Suldal,0
Sør-odal,Sauda,0
Sør-odal,Kvitsøy,0
Sør-odal,Bokn,0
Sør-odal,Tysvær,0
Sør-odal,Karmøy,0
Sør-odal,Utsira,0
Sør-odal,Vindafjord,0
Sør-odal,Bergen,1
Sør-odal,Etne,0
Sør-odal,Sveio,0
Sør-odal,Bømlo,0
Sør-odal,Stord,0
Sør-odal,Fitjar,0
Sør-odal,Tysnes,0
Sør-odal,Kvinnherad,0
Sør-odal,Ullensvang,0
Sør-odal,Eidfjord,0
Sør-odal,Ulvik,0
Sør-odal,Voss,0
Sør-odal,Kvam,0
Sør-odal,Samnanger,0
Sør-odal,Austevoll,0
Sør-odal,Sund,0
Sør-odal,Fjell,0
Sør-odal,Askøy,0
Sør-odal,Vaksdal,0
Sør-odal,Modalen,0
Sør-odal,Osterøy,0
Sør-odal,Meland,0
Sør-odal,Øygarden,0
Sør-odal,Austrheim,0
Sør-odal,Fedje,0
Sør-odal,Masfjorden,0
Sør-odal,Gulen,0
Sør-odal,Solund,0
Sør-odal,Hyllestad,0
Sør-odal,Høyanger,0
Sør-odal,Vik,0
Sør-odal,Sogndal,0
Sør-odal,Aurland,0
Sør-odal,Lærdal,0
Sør-odal,Årdal,0
Sør-odal,Luster,0
Sør-odal,Askvoll,0
Sør-odal,Fjaler,0
Sør-odal,Bremanger,0
Sør-odal,Eid,59
Sør-odal,Gloppen,0
Sør-odal,Stryn,0
Sør-odal,Molde,0
Sør-odal,Ålesund,0
Sør-odal,Kristiansund,0
Sør-odal,Vanylven,0
Sør-odal,Sande,1
Sør-odal,Herøy,0
Sør-odal,Ulstein,0
Sør-odal,Hareid,0
Sør-odal,Volda,0
Sør-odal,Ørsta,0
Sør-odal,Stranda,0
Sør-odal,Sykkylven,0
Sør-odal,Sula,0
Sør-odal,Giske,0
Sør-odal,Vestnes,0
Sør-odal,Rauma,0
Sør-odal,Aukra,0
Sør-odal,Averøy,0
Sør-odal,Gjemnes,0
Sør-odal,Tingvoll,0
Sør-odal,Sunndal,0
Sør-odal,Surnadal,0
Sør-odal,Smøla,0
Sør-odal,Aure,0
Sør-odal,Bodø,1
Sør-odal,Bindal,0
Sør-odal,Sømna,0
Sør-odal,Brønnøy,0
Sør-odal,Vega,0
Sør-odal,Vevelstad,0
Sør-odal,Leirfjord,0
Sør-odal,Vefsn,0
Sør-odal,Grane,0
Sør-odal,Hattfjelldal,0
Sør-odal,Dønna,0
Sør-odal,Nesna,0
Sør-odal,Hemnes,0
Sør-odal,Rana,0
Sør-odal,Lurøy,0
Sør-odal,Træna,0
Sør-odal,Rødøy,0
Sør-odal,Meløy,0
Sør-odal,Gildeskål,0
Sør-odal,Beiarn,0
Sør-odal,Saltdal,0
Sør-odal,Fauske,1
Sør-odal,Sørfold,0
Sør-odal,Steigen,0
Sør-odal,Lødingen,0
Sør-odal,Tjeldsund,0
Sør-odal,Evenes,0
Sør-odal,Røst,0
Sør-odal,Værøy,0
Sør-odal,Flakstad,0
Sør-odal,Vestvågøy,1
Sør-odal,Vågan,0
Sør-odal,Hadsel,0
Sør-odal,Bø,0
Sør-odal,Øksnes,0
Sør-odal,Sortland,0
Sør-odal,Andøy,0
Sør-odal,Moskenes,0
Sør-odal,Tromsø,0
Sør-odal,Harstad,0
Sør-odal,Kvæfjord,0
Sør-odal,Ibestad,0
Sør-odal,Gratangen,0
Sør-odal,Lavangen,0
Sør-odal,Bardu,0
Sør-odal,Salangen,0
Sør-odal,Målselv,0
Sør-odal,Sørreisa,0
Sør-odal,Dyrøy,0
Sør-odal,Berg,3
Sør-odal,Balsfjord,0
Sør-odal,Karlsøy,0
Sør-odal,Lyngen,0
Sør-odal,Storfjord,0
Sør-odal,Kåfjord,0
Sør-odal,Skjervøy,0
Sør-odal,Nordreisa,0
Sør-odal,Kvænangen,0
Sør-odal,Vardø,0
Sør-odal,Vadsø,0
Sør-odal,Hammerfest,0
Sør-odal,Kautokeino,1
Sør-odal,Alta,0
Sør-odal,Loppa,0
Sør-odal,Hasvik,0
Sør-odal,Måsøy,0
Sør-odal,Nordkapp,0
Sør-odal,Porsanger,0
Sør-odal,Karasjok,0
Sør-odal,Lebesby,0
Sør-odal,Gamvik,0
Sør-odal,Berlevåg,0
Sør-odal,Tana,0
Sør-odal,Nesseby,0
Sør-odal,Båtsfjord,0
Sør-odal,Sør-varanger,0
Sør-odal,Trondheim,0
Sør-odal,Namsos,0
Sør-odal,Hemne,0
Sør-odal,Frøya,0
Sør-odal,Ørland,0
Sør-odal,Åfjord,0
Sør-odal,Osen,0
Sør-odal,Oppdal,0
Sør-odal,Rennebu,0
Sør-odal,Røros,0
Sør-odal,Holtålen,0
Sør-odal,Midtre_Gauldal,0
Sør-odal,Melhus,0
Sør-odal,Skaun,0
Sør-odal,Malvik,0
Sør-odal,Selbu,0
Sør-odal,Tydal,0
Sør-odal,Meråker,0
Sør-odal,Stjørdal,0
Sør-odal,Frosta,0
Sør-odal,Levanger,0
Sør-odal,Verdal,0
Sør-odal,Snåsa,0
Sør-odal,Lierne,0
Sør-odal,Røyrvik,0
Sør-odal,Namsskogan,0
Sør-odal,Grong,0
Sør-odal,Høylandet,0
Sør-odal,Overhalla,0
Sør-odal,Flatanger,0
Sør-odal,Nærøy,0
Sør-odal,Leka,0
Sør-odal,Inderøy,0
Sør-odal,Indre_Fosen,0
Eidskog,Halden,0
Eidskog,Moss,1
Eidskog,Sarpsborg,2
Eidskog,Fredrikstad,0
Eidskog,Hvaler,0
Eidskog,Aremark,0
Eidskog,Marker,0
Eidskog,Skiptvet,0
Eidskog,Rakkestad,0
Eidskog,Råde,0
Eidskog,Vestby,2
Eidskog,Ski,1
Eidskog,Ås,3
Eidskog,Frogn,2
Eidskog,Nesodden,1
Eidskog,Bærum,3
Eidskog,Asker,1
Eidskog,Aurskog-Høland,13
Eidskog,Rælingen,6
Eidskog,Enebakk,1
Eidskog,Lørenskog,1
Eidskog,Nittedal,1
Eidskog,Gjerdrum,0
Eidskog,Ullensaker,4
Eidskog,Eidsvoll,2
Eidskog,Nannestad,1
Eidskog,Hurdal,2
Eidskog,Oslo,26
Eidskog,Kongsvinger,189
Eidskog,Hamar,1
Eidskog,Ringsaker,0
Eidskog,Løten,0
Eidskog,Stange,0
Eidskog,Nord-odal,1
Eidskog,Sør-odal,24
Eidskog,Eidskog,0
Eidskog,Grue,11
Eidskog,Åsnes,3
Eidskog,Elverum,2
Eidskog,Trysil,1
Eidskog,Åmot,0
Eidskog,Stor-Elvdal,0
Eidskog,Rendalen,0
Eidskog,Engerdal,0
Eidskog,Tolga,0
Eidskog,Tynset,0
Eidskog,Alvdal,0
Eidskog,Folldal,0
Eidskog,Lillehammer,2
Eidskog,Gjøvik,3
Eidskog,Dovre,0
Eidskog,Lesja,0
Eidskog,Skjåk,0
Eidskog,Lom,0
Eidskog,Vågå,0
Eidskog,Nord-Fron,2
Eidskog,Sel,0
Eidskog,Sør-Fron,0
Eidskog,Ringebu,1
Eidskog,Øyer,0
Eidskog,Gausdal,0
Eidskog,Østre_Toten,0
Eidskog,Vestre_Toten,1
Eidskog,Jevnaker,0
Eidskog,Lunner,0
Eidskog,Gran,0
Eidskog,Søndre_Land,0
Eidskog,Nordre_Land,0
Eidskog,Sør-Aurdal,0
Eidskog,Etnedal,0
Eidskog,Nord-Aurdal,0
Eidskog,Vestre_Slidre,0
Eidskog,Øystre_Slidre,0
Eidskog,Vang,1
Eidskog,Drammen,0
Eidskog,Kongsberg,1
Eidskog,Ringerike,0
Eidskog,Hole,0
Eidskog,Flå,0
Eidskog,Gol,0
Eidskog,Hemsedal,0
Eidskog,Ål,3
Eidskog,Hol,0
Eidskog,Sigdal,0
Eidskog,Krødsherad,0
Eidskog,Modum,0
Eidskog,Øvre_Eiker,0
Eidskog,Lier,0
Eidskog,Flesberg,0
Eidskog,Rollag,0
Eidskog,Nore_og_Uvdal,0
Eidskog,Horten,3
Eidskog,Tønsberg,1
Eidskog,Sandefjord,0
Eidskog,Larvik,0
Eidskog,Holmestrand,0
Eidskog,Re,2
Eidskog,Færder,0
Eidskog,Porsgrunn,0
Eidskog,Skien,0
Eidskog,Notodden,1
Eidskog,Siljan,0
Eidskog,Bamble,0
Eidskog,Kragerø,0
Eidskog,Drangedal,1
Eidskog,Nome,0
Eidskog,Tinn,1
Eidskog,Hjartdal,0
Eidskog,Seljord,0
Eidskog,Kviteseid,0
Eidskog,Nissedal,0
Eidskog,Fyresdal,0
Eidskog,Tokke,0
Eidskog,Vinje,0
Eidskog,Risør,2
Eidskog,Grimstad,0
Eidskog,Arendal,0
Eidskog,Gjerstad,0
Eidskog,Vegårshei,0
Eidskog,Tvedestrand,0
Eidskog,Froland,0
Eidskog,Lillesand,0
Eidskog,Birkenes,0
Eidskog,Åmli,0
Eidskog,Iveland,0
Eidskog,Evje_og_Hornnes,0
Eidskog,Bygland,0
Eidskog,Valle,0
Eidskog,Bykle,0
Eidskog,Kristiansand,1
Eidskog,Farsund,0
Eidskog,Flekkefjord,0
Eidskog,Vennesla,0
Eidskog,Åseral,0
Eidskog,Lindesnes,0
Eidskog,Lyngdal,0
Eidskog,Hægebostad,0
Eidskog,Kvinesdal,0
Eidskog,Sirdal,0
Eidskog,Eigersund,0
Eidskog,Sandnes,1
Eidskog,Stavanger,1
Eidskog,Haugesund,0
Eidskog,Sokndal,0
Eidskog,Lund,0
Eidskog,Bjerkreim,0
Eidskog,Hå,0
Eidskog,Klepp,0
Eidskog,Time,0
Eidskog,Gjesdal,0
Eidskog,Sola,1
Eidskog,Randaberg,0
Eidskog,Strand,0
Eidskog,Hjelmeland,0
Eidskog,Suldal,0
Eidskog,Sauda,0
