Gjerstad,2288,1108,2,1,1,0,78,0
Vegårshei,1888,893,4,1,1,0,53,0
Tvedestrand,5713,2728,11,4,1,3,269,0
Froland,5496,2429,7,2,1,0,142,0
Lillesand,10062,4512,14,5,2,1,378,0
Birkenes,4748,2107,7,3,2,0,180,0
Åmli,1758,806,4,1,1,1,87,0
Iveland,1246,545,2,1,1,0,43,0
Evje og Hornnes,3360,1546,3,2,1,2,149,0
Bygland,1105,540,2,2,1,1,52,0
Valle,1074,531,2,1,1,0,73,0
Bykle,931,426,2,2,1,1,38,0
Kristiansand,91490,42285,119,38,24,8,2933,14
Farsund,8861,4169,9,3,2,2,284,0
Flekkefjord,8547,3899,10,4,1,1,328,2
Vennesla,13901,6165,16,8,2,3,305,2
Åseral,829,378,1,1,1,0,70,0
Lindesnes,4637,2114,29,12,7,1,155,0
Lyngdal,7962,3498,12,7,3,3,327,0
Hægebostad,1538,675,2,2,1,0,45,0
Kvinesdal,5672,2640,8,5,2,1,157,2
Sirdal,1633,764,2,2,2,1,78,0
Eigersund,13880,6284,16,8,5,1,444,1
Sandnes,74098,31638,68,26,15,5,2029,4
Stavanger,130976,60379,134,41,26,14,4662,25
Haugesund,36463,17431,38,12,9,5,1249,7
Sokndal,3085,1396,3,1,1,0,88,1
Lund,3599,1661,4,4,2,0,125,0
Bjerkreim,2597,1036,3,2,1,0,87,1
Hå,17682,7383,18,5,5,1,451,3
Klepp,18127,7620,20,8,5,2,605,2
Time,17531,7662,20,7,4,1,438,2
Gjesdal,11231,4544,11,6,4,0,352,1
Sola,25405,10667,30,9,3,1,1102,3
Randaberg,10340,4331,10,3,3,1,225,1
Strand,36949,16844,50,20,11,8,1098,0
Hjelmeland,2437,1085,4,3,1,0,127,1
Suldal,3550,1570,8,7,2,1,140,1
Sauda,4248,2025,4,3,1,1,126,2
Kvitsøy,503,218,1,1,1,0,21,1
Bokn,784,349,1,1,1,0,33,1
Tysvær,10171,4228,10,7,3,1,270,1
Karmøy,39568,17396,32,19,7,3,971,6
Utsira,210,85,1,1,1,0,6,1
Vindafjord,8066,3540,10,9,3,3,291,2
Bergen,287384,137178,259,76,36,28,8857,19
Etne,5049,2315,4,3,3,0,186,0
Sveio,5367,2251,8,5,1,0,98,1
Bømlo,10989,4777,8,8,3,2,230,0
Stord,18395,8239,20,7,3,1,563,0
Fitjar,2831,1237,5,3,1,1,71,0
Tysnes,2638,1266,4,1,1,0,108,0
Kvinnherad,12211,5589,17,13,4,1,386,3
Ullensvang,2888,1395,13,9,5,1,97,0
Eidfjord,885,416,1,1,1,0,48,0
Ulvik,938,452,1,1,1,1,42,0
Voss,13282,6219,18,10,3,2,480,0
Kvam,7812,3487,6,6,3,2,288,4
Samnanger,2293,1030,3,1,1,0,48,0
Austevoll,4698,1984,6,3,1,1,130,0
Sund,139754,65710,168,74,44,22,4651,0
Fjell,25693,10736,3,3,1,1,842,2
Askøy,27619,11082,28,14,4,2,466,2
Vaksdal,3716,1770,4,5,2,0,103,0
Modalen,320,145,1,1,1,0,29,0
Osterøy,7431,3271,8,7,2,1,193,0
Meland,10079,4230,4,3,1,0,227,1
Øygarden,4431,1923,42,18,5,2,51,0
Austrheim,2724,1211,2,2,2,1,73,0
Fedje,507,240,1,1,1,0,6,0
Masfjorden,1539,700,3,3,3,0,62,0
Gulen,2159,992,4,4,4,0,98,0
Solund,779,361,1,1,1,0,41,0
Hyllestad,1228,611,1,1,1,0,29,0
Høyanger,3750,1829,6,5,3,1,127,2
Vik,135133,63498,114,63,38,6,3989,0
Sogndal,9023,4398,14,5,2,2,408,0
Aurland,1593,762,3,2,1,1,102,0
Lærdal,2058,937,2,2,1,0,63,0
Årdal,4824,2423,6,2,2,1,209,0
Luster,4657,2149,9,8,2,0,130,0
Askvoll,2719,1273,5,5,3,0,81,0
Fjaler,2437,1138,4,3,2,1,124,0
Bremanger,3346,1554,7,6,3,0,154,0
Eid,58690,27049,32,18,8,3,1673,0
Gloppen,5136,2348,8,4,2,1,201,3
Stryn,6328,2874,9,7,2,1,265,3
Molde,26315,12528,33,15,8,3,862,5
Ålesund,47112,21815,64,30,17,9,1818,3
Kristiansund,23547,11357,17,9,3,2,836,3
Vanylven,2811,1349,3,3,2,1,97,1
Sande,71551,33116,66,27,13,6,2204,0
Herøy,9985,4512,11,8,4,1,285,2
Ulstein,8047,3467,9,4,1,1,263,1
Hareid,4952,2186,4,4,1,0,70,1
Volda,9503,4564,16,8,4,1,258,3
Ørsta,9957,4516,11,7,3,1,314,2
Stranda,4244,1937,7,3,3,2,213,1
Sykkylven,7031,3160,9,6,1,1,216,2
Sula,8688,3654,10,4,1,0,179,3
Giske,7906,3229,8,4,2,0,171,2
Vestnes,6153,2886,7,5,3,1,164,2
Rauma,6994,3304,9,5,3,1,259,2
Aukra,3383,1438,3,2,2,1,90,1
Averøy,5603,2518,8,3,1,0,138,1
Gjemnes,2536,1119,5,3,1,0,67,1
Tingvoll,2729,1339,3,3,2,1,116,1
Sunndal,6407,3184,6,5,1,1,261,2
Surnadal,5388,2530,9,5,1,1,190,1
Smøla,2130,1001,4,1,1,0,105,1
Aure,3366,1593,5,1,1,0,153,2
Bodø,51634,24206,60,19,15,5,1713,8
Bindal,1339,629,3,2,2,0,59,1
Sømna,1824,919,3,1,1,0,88,1
Brønnøy,7493,3493,9,4,3,1,261,1
Vega,1200,559,1,1,1,0,55,1
Vevelstad,443,222,2,1,1,0,20,1
Leirfjord,2207,990,4,3,1,0,63,1
Vefsn,12934,6183,19,4,2,1,403,3
Grane,1336,681,2,1,1,0,34,1
Hattfjelldal,1161,576,3,3,1,1,79,1
Dønna,1249,622,3,3,2,0,34,1
Nesna,1690,831,3,1,1,1,69,1
Hemnes,4185,2018,7,4,3,0,155,1
Rana,25577,11794,23,11,3,1,850,5
Lurøy,1803,874,6,6,5,0,58,1
Træna,462,204,1,1,1,0,32,1
Rødøy,1099,511,4,6,6,0,48,1
Meløy,5863,2799,9,8,5,1,256,1
Gildeskål,1907,931,5,4,4,1,89,1
Beiarn,918,460,1,1,1,0,30,1
Saltdal,4365,2077,6,2,2,1,136,1
Fauske,9347,4440,10,3,3,1,342,2
Sørfold,1918,894,3,3,3,0,69,1
Steigen,2370,1178,4,4,1,1,133,1
Lødingen,2056,989,2,2,2,0,113,1
Tjeldsund,1200,580,7,5,4,1,35,0
Evenes,1301,627,2,1,1,0,58,1
Røst,471,250,1,1,1,0,34,1
Værøy,754,334,1,1,1,0,32,1
Flakstad,1154,565,2,2,2,0,67,1
Vestvågøy,10661,4970,18,8,5,1,396,2
Vågan,8927,4252,17,10,9,2,343,2
Hadsel,7714,3673,11,5,3,1,198,1
Bø,26004,11956,11,11,4,2,757,0
Øksnes,4215,2007,5,2,1,1,166,1
Sortland,10143,4652,14,7,2,2,466,1
Andøy,5676,2786,8,4,2,1,223,1
Moskenes,985,487,1,1,1,0,55,1
Tromsø,79003,37427,91,33,19,9,2746,5
Harstad,24411,11393,32,9,5,2,892,5
Kvæfjord,2636,1274,3,2,2,1,81,0
Ibestad,1308,668,2,2,2,0,91,0
Gratangen,1028,517,2,2,2,0,45,0
Lavangen,899,426,2,1,1,0,31,0
Bardu,3883,1835,5,3,1,0,180,0
Salangen,2051,998,1,1,1,1,70,0
Målselv,6304,3040,6,7,4,2,236,0
Sørreisa,3217,1500,4,1,1,0,84,0
Dyrøy,1058,547,1,1,1,0,38,0
Berg,386949,184775,353,109,56,39,12576,0
Balsfjord,5207,2531,8,5,4,1,218,0
Karlsøy,2158,1062,5,3,3,0,112,0
Lyngen,2489,1237,4,3,2,0,99,0
Storfjord,1652,833,3,2,2,0,72,0
Kåfjord,1996,929,3,3,3,0,83,0
Skjervøy,2733,1253,5,2,2,1,61,2
